,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
11734,11735,31/05/2021,Madhya Pradesh,778825,27256.0,743550.0,8019.0
11735,11736,01/06/2021,Madhya Pradesh,780030,23390.0,748573.0,8067.0
11736,11737,02/06/2021,Madhya Pradesh,781108,20303.0,752693.0,8112.0
11737,11738,03/06/2021,Madhya Pradesh,782099,17136.0,756806.0,8157.0
11738,11739,04/06/2021,Madhya Pradesh,782945,14186.0,760552.0,8207.0
11739,11740,05/06/2021,Madhya Pradesh,783743,12889.0,762597.0,8257.0
11740,11741,06/06/2021,Madhya Pradesh,784461,11344.0,764822.0,8295.0
11741,11742,07/06/2021,Madhya Pradesh,785196,10103.0,766756.0,8337.0
11742,11743,08/06/2021,Madhya Pradesh,785767,8860.0,768538.0,8369.0
11743,11744,09/06/2021,Madhya Pradesh,786302,7983.0,769914.0,8405.0
11744,11745,10/06/2021,Madhya Pradesh,786755,7071.0,771243.0,8441.0
11745,11746,11/06/2021,Madhya Pradesh,787175,6325.0,772375.0,8475.0
11746,11747,12/06/2021,Madhya Pradesh,787572,5447.0,773615.0,8510.0
11747,11748,13/06/2021,Madhya Pradesh,787909,4775.0,774600.0,8534.0
11748,11749,14/06/2021,Madhya Pradesh,788183,4251.0,775380.0,8552.0
11749,11750,15/06/2021,Madhya Pradesh,788425,3941.0,775896.0,8588.0
11750,11751,16/06/2021,Madhya Pradesh,788649,3610.0,776424.0,8615.0
11751,11752,17/06/2021,Madhya Pradesh,788809,3273.0,776887.0,8649.0
11752,11753,18/06/2021,Madhya Pradesh,788954,2984.0,777291.0,8679.0
11753,11754,19/06/2021,Madhya Pradesh,789064,2727.0,777630.0,8707.0
11754,11755,20/06/2021,Madhya Pradesh,789174,2442.0,777995.0,8737.0
11755,11756,21/06/2021,Madhya Pradesh,789261,2214.0,778280.0,8767.0
11756,11757,22/06/2021,Madhya Pradesh,789350,1980.0,778584.0,8786.0
11757,11758,23/06/2021,Madhya Pradesh,789415,1707.0,778902.0,8806.0
11758,11759,25/06/2021,Madhya Pradesh,789561,1280.0,779432.0,8849.0
11759,11760,26/06/2021,Madhya Pradesh,789611,1110.0,779630.0,8871.0
11760,11761,27/06/2021,Madhya Pradesh,789657,927.0,779834.0,8896.0
11761,11762,28/06/2021,Madhya Pradesh,789696,816.0,779963.0,8917.0
11762,11763,29/06/2021,Madhya Pradesh,789733,696.0,780101.0,8936.0
11763,11764,30/06/2021,Madhya Pradesh,789771,630.0,780187.0,8954.0
11764,11765,01/07/2021,Madhya Pradesh,789804,570.0,780265.0,8969.0
11765,11766,02/07/2021,Madhya Pradesh,789844,533.0,780330.0,8981.0
11766,11767,03/07/2021,Madhya Pradesh,789887,514.0,780384.0,8989.0
11767,11768,04/07/2021,Madhya Pradesh,789936,490.0,780445.0,9001.0
11768,11769,05/07/2021,Madhya Pradesh,789983,479.0,780495.0,9009.0
11769,11770,06/07/2021,Madhya Pradesh,790015,466.0,780534.0,9015.0
11770,11771,07/07/2021,Madhya Pradesh,790042,447.0,780578.0,9017.0
11771,11772,08/07/2021,Madhya Pradesh,790070,441.0,780610.0,9019.0
11772,11773,09/07/2021,Madhya Pradesh,790096,416.0,780657.0,9023.0
11773,11774,10/07/2021,Madhya Pradesh,790125,406.0,780695.0,9024.0
11774,11775,11/07/2021,Madhya Pradesh,790152,392.0,780735.0,9025.0
11775,11776,12/07/2021,Madhya Pradesh,790175,415.0,780735.0,9025.0
11776,11777,13/07/2021,Madhya Pradesh,790193,-1048.0,780735.0,10506.0
11777,11778,14/07/2021,Madhya Pradesh,791583,279.0,780796.0,10508.0
11778,11779,15/07/2021,Madhya Pradesh,791594,271.0,780815.0,10508.0
11779,11780,16/07/2021,Madhya Pradesh,791614,253.0,780851.0,10510.0
11780,11781,17/07/2021,Madhya Pradesh,791629,235.0,780884.0,10510.0
11781,11782,18/07/2021,Madhya Pradesh,791640,221.0,780907.0,10512.0
11782,11783,19/07/2021,Madhya Pradesh,791658,219.0,780927.0,10512.0
11783,11784,21/07/2021,Madhya Pradesh,791689,190.0,780987.0,10512.0
11784,11785,22/07/2021,Madhya Pradesh,791704,185.0,781007.0,10512.0
11785,11786,26/07/2021,Madhya Pradesh,791750,148.0,781090.0,10512.0
11786,11787,27/07/2021,Madhya Pradesh,791756,140.0,781104.0,10512.0
11787,11788,28/07/2021,Madhya Pradesh,791767,138.0,781117.0,10512.0
11788,11789,29/07/2021,Madhya Pradesh,791778,130.0,781135.0,10513.0
11789,11790,30/07/2021,Madhya Pradesh,791796,130.0,781153.0,10513.0
11790,11791,31/07/2021,Madhya Pradesh,791806,121.0,781172.0,10513.0
11791,11792,01/08/2021,Madhya Pradesh,791828,122.0,781193.0,10513.0
11792,11793,02/08/2021,Madhya Pradesh,791845,125.0,781207.0,10513.0
11793,11794,03/08/2021,Madhya Pradesh,791862,132.0,781217.0,10513.0
11794,11795,04/08/2021,Madhya Pradesh,791880,139.0,781228.0,10513.0
11795,11796,05/08/2021,Madhya Pradesh,791908,155.0,781240.0,10513.0
11796,11797,06/08/2021,Madhya Pradesh,791919,152.0,781253.0,10514.0
11797,11798,07/08/2021,Madhya Pradesh,791937,158.0,781265.0,10514.0
11798,11799,08/08/2021,Madhya Pradesh,791950,156.0,781280.0,10514.0
11799,11800,09/08/2021,Madhya Pradesh,791960,148.0,781298.0,10514.0
11800,11801,10/08/2021,Madhya Pradesh,791970,149.0,781307.0,10514.0
11801,11802,11/08/2021,Madhya Pradesh,791980,136.0,781330.0,10514.0
11802,11803,12/08/2021,Madhya Pradesh,791990,132.0,781344.0,10514.0
11803,11804,13/08/2021,Madhya Pradesh,791998,131.0,781353.0,10514.0
11804,11805,14/08/2021,Madhya Pradesh,792007,103.0,781390.0,10514.0
11805,11806,15/08/2021,Madhya Pradesh,792023,111.0,781398.0,10514.0
11806,11807,16/08/2021,Madhya Pradesh,792036,104.0,781418.0,10514.0
11807,11808,17/08/2021,Madhya Pradesh,792043,94.0,781434.0,10515.0
11808,11809,18/08/2021,Madhya Pradesh,792054,95.0,781444.0,10515.0
11809,11810,19/08/2021,Madhya Pradesh,792063,93.0,781455.0,10515.0
11810,11811,20/08/2021,Madhya Pradesh,792081,95.0,781471.0,10515.0
11811,11812,21/08/2021,Madhya Pradesh,792089,95.0,781479.0,10515.0
11812,11813,22/08/2021,Madhya Pradesh,792096,88.0,781493.0,10515.0
11813,11814,23/08/2021,Madhya Pradesh,792101,86.0,781499.0,10516.0
11814,11815,24/08/2021,Madhya Pradesh,792104,84.0,781504.0,10516.0
11815,11816,25/08/2021,Madhya Pradesh,792109,84.0,781509.0,10516.0
11816,11817,26/08/2021,Madhya Pradesh,792114,79.0,781519.0,10516.0
11817,11818,27/08/2021,Madhya Pradesh,792120,76.0,781528.0,10516.0
11818,11819,28/08/2021,Madhya Pradesh,792136,82.0,781538.0,10516.0
11819,11820,29/08/2021,Madhya Pradesh,792143,79.0,781548.0,10516.0
11820,11821,30/08/2021,Madhya Pradesh,792155,80.0,781559.0,10516.0
11821,11822,31/08/2021,Madhya Pradesh,792165,75.0,781574.0,10516.0
11822,11823,01/09/2021,Madhya Pradesh,792175,79.0,781580.0,10516.0
11823,11824,02/09/2021,Madhya Pradesh,792186,83.0,781587.0,10516.0
11824,11825,03/09/2021,Madhya Pradesh,792197,91.0,781590.0,10516.0
11825,11826,04/09/2021,Madhya Pradesh,792215,101.0,781598.0,10516.0
11826,11827,05/09/2021,Madhya Pradesh,792237,114.0,781607.0,10516.0
11827,11828,06/09/2021,Madhya Pradesh,792259,122.0,781621.0,10516.0
11828,11829,07/09/2021,Madhya Pradesh,792297,137.0,781644.0,10516.0
11829,11830,08/09/2021,Madhya Pradesh,792281,127.0,781638.0,10516.0
11830,11831,09/09/2021,Madhya Pradesh,792297,137.0,781644.0,10516.0
11831,11832,10/09/2021,Madhya Pradesh,792311,130.0,781664.0,10517.0
11832,11833,11/09/2021,Madhya Pradesh,792311,130.0,781664.0,10517.0
11833,11834,12/09/2021,Madhya Pradesh,792327,136.0,781674.0,10517.0
11834,11835,13/09/2021,Madhya Pradesh,792341,138.0,781686.0,10517.0
11835,11836,14/09/2021,Madhya Pradesh,792353,131.0,781705.0,10517.0
11836,11837,15/09/2021,Madhya Pradesh,792360,126.0,781717.0,10517.0
11837,11838,16/09/2021,Madhya Pradesh,792367,124.0,781726.0,10517.0
11838,11839,18/09/2021,Madhya Pradesh,792380,109.0,781754.0,10517.0
11839,11840,19/09/2021,Madhya Pradesh,792386,97.0,781772.0,10517.0
11840,11841,20/09/2021,Madhya Pradesh,792394,96.0,781781.0,10517.0
11841,11842,21/09/2021,Madhya Pradesh,792402,96.0,781789.0,10517.0
11842,11843,22/09/2021,Madhya Pradesh,792410,90.0,781803.0,10517.0
11843,11844,23/09/2021,Madhya Pradesh,792422,90.0,781815.0,10517.0
11844,11845,24/09/2021,Madhya Pradesh,792435,93.0,781825.0,10517.0
11845,11846,25/09/2021,Madhya Pradesh,792471,120.0,781833.0,10518.0
11846,11847,26/09/2021,Madhya Pradesh,792487,117.0,781852.0,10518.0
11847,11848,27/09/2021,Madhya Pradesh,792496,116.0,781862.0,10518.0
11848,11849,28/09/2021,Madhya Pradesh,792504,118.0,781868.0,10518.0
11849,11850,29/09/2021,Madhya Pradesh,792511,116.0,781875.0,10520.0
11850,11851,30/09/2021,Madhya Pradesh,792519,115.0,781882.0,10522.0
11851,11852,01/10/2021,Madhya Pradesh,792531,122.0,781887.0,10522.0
11852,11853,02/10/2021,Madhya Pradesh,792542,124.0,781896.0,10522.0
11853,11854,03/10/2021,Madhya Pradesh,792547,117.0,781908.0,10522.0
11854,11855,04/10/2021,Madhya Pradesh,792556,117.0,781917.0,10522.0
11855,11856,05/10/2021,Madhya Pradesh,792570,123.0,781925.0,10522.0
11856,11857,06/10/2021,Madhya Pradesh,792580,122.0,781936.0,10522.0
11857,11858,07/10/2021,Madhya Pradesh,792596,121.0,781953.0,10522.0
11858,11859,08/10/2021,Madhya Pradesh,792600,114.0,781964.0,10522.0
11859,11860,09/10/2021,Madhya Pradesh,792606,111.0,781973.0,10522.0
11860,11861,10/10/2021,Madhya Pradesh,792614,107.0,781984.0,10523.0
11861,11862,11/10/2021,Madhya Pradesh,792621,103.0,781995.0,10523.0
11862,11863,12/10/2021,Madhya Pradesh,792635,103.0,782009.0,10523.0
11863,11864,13/10/2021,Madhya Pradesh,792647,109.0,782015.0,10523.0
11864,11865,14/10/2021,Madhya Pradesh,792657,110.0,782024.0,10523.0
11865,11866,15/10/2021,Madhya Pradesh,792669,111.0,782035.0,10523.0
11866,11867,16/10/2021,Madhya Pradesh,792675,106.0,782046.0,10523.0
11867,11868,17/10/2021,Madhya Pradesh,792679,96.0,782060.0,10523.0
11868,11869,18/10/2021,Madhya Pradesh,792684,84.0,782077.0,10523.0
11869,11870,19/10/2021,Madhya Pradesh,792690,81.0,782086.0,10523.0
11870,11871,20/10/2021,Madhya Pradesh,792700,79.0,782098.0,10523.0
11871,11872,21/10/2021,Madhya Pradesh,792709,82.0,782104.0,10523.0
11872,11873,22/10/2021,Madhya Pradesh,792721,88.0,782110.0,10523.0
11873,11874,23/10/2021,Madhya Pradesh,792729,80.0,782126.0,10523.0
11874,11875,24/10/2021,Madhya Pradesh,792740,79.0,782138.0,10523.0
11875,11876,25/10/2021,Madhya Pradesh,792749,85.0,782141.0,10523.0
11876,11877,26/10/2021,Madhya Pradesh,792757,84.0,782150.0,10523.0
11877,11878,27/10/2021,Madhya Pradesh,792784,99.0,782162.0,10523.0
11878,11879,28/10/2021,Madhya Pradesh,792804,108.0,782172.0,10524.0
